spell,first,rank
25292,635,9
25294,2643,5
25295,1978,9
25296,13165,7
25297,5185,11
25298,2912,7
25299,774,11
25300,53,9
25302,1966,5
25304,116,11
25306,133,12
25307,686,10
25308,596,6
25309,348,8
25311,172,7
25312,14752,5
25314,2060,5
25315,139,10
25316,596,5
25329,23455,7
25331,15237,7
25345,5143,8
25346,7268,8
25349,2818,5
25351,2823,5
25357,331,10
25361,8075,5
25362,8076,5
25363,585,9
25364,585,10
25367,589,9
25368,589,10
25372,8092,10
25375,8092,11
25384,14914,9
25387,15407,7
25389,1243,7
25391,331,11
25392,21562,3
25396,331,12
25420,8004,7
25422,1064,4
25423,1064,5
25431,588,7
25433,976,4
25435,2006,6
25437,19236,7
25439,421,5
25442,421,6
25448,403,11
25449,403,12
25454,8042,8
25457,8050,7
25464,8056,5
25467,2944,7
25469,324,8
25472,324,9
25488,8026,7
25489,8024,7
25500,8033,6
25501,8034,6
25505,8232,5
25506,8072,7
25507,8072,8
25508,8071,7
25509,8071,8
25512,5729,7
25513,5728,7
25525,5730,7
25527,8076,6
25528,8075,6
25530,3606,7
25533,3599,7
25535,8349,6
25537,8349,7
25546,1535,6
25547,1535,7
25550,8187,5
25551,8188,5
25552,8190,5
25557,8227,5
25559,8182,4
25560,8181,4
25562,8185,4
25563,8184,4
25566,5672,6
25567,5394,6
25569,5677,5
25570,5675,5
25573,10596,4
25574,10595,4
25590,2008,6
25782,25782,1
25894,25894,1
25902,25912,3
25903,25914,3
25911,25912,2
25912,25912,1
25913,25914,2
25914,25914,1
25916,25782,2
25918,25894,2
26017,67,2
26094,26094,1
26184,7370,2
26185,7370,3
26186,7370,4
26189,26094,2
26190,26094,3
26202,7370,5
26363,26364,7
26364,26364,1
26365,26364,2
26366,26364,3
26367,26364,4
26369,26364,5
26370,26364,6
26371,26364,8
26372,26364,9
26573,26573,1
26669,5277,2
26679,26679,1
26688,26688,1
26785,26785,1
26790,3908,5
26839,703,7
26861,1752,9
26862,1752,10
26863,53,10
26864,16511,4
26865,2098,10
26867,1943,7
26884,703,8
26888,11327,3
26889,1856,3
26890,8680,7
26891,8679,7
26967,2823,6
26968,2818,6
26978,5185,12
26979,5185,13
26980,8936,10
26981,774,12
26982,774,13
26983,740,5
26984,5176,9
26985,5176,10
26986,2912,8
26987,8921,11
26988,8921,12
26989,339,7
26990,1126,8
26991,21849,3
26992,467,7
26994,20484,6
26995,2908,4
26996,6807,8
26997,779,6
26998,99,6
27000,1082,6
27001,5221,6
27002,5221,7
27003,1822,5
27004,8998,5
27005,6785,5
27006,9005,4
27007,9007,4
27008,1079,7
27009,16689,7
27010,19975,7
27012,16914,4
27013,5570,6
27014,2973,9
27016,1978,10
27019,3044,9
27021,2643,6
27022,1510,4
27023,13795,6
27024,13797,6
27025,13813,4
27026,13812,4
27028,3273,5
27030,746,11
27031,746,12
27044,13165,8
27045,20043,3
27046,136,8
27047,2649,8
27049,16827,9
27050,17253,9
27051,24423,5
27055,4548,5
27060,24640,5
27065,19434,7
27067,19306,4
27068,19386,4
27069,24131,4
27070,133,13
27071,116,12
27072,116,13
27073,2948,8
27074,2948,9
27075,5143,9
27076,7268,9
27078,2136,8
27079,2136,9
27080,1449,7
27082,1449,8
27085,10,7
27086,2120,7
27087,120,6
27088,122,5
27090,5504,9
27101,759,5
27103,5405,5
27124,7302,5
27125,6117,4
27126,1459,6
27127,23028,2
27128,543,6
27130,1008,5
27131,1463,7
27132,11366,9
27133,11113,6
27134,11426,5
27135,635,10
27136,635,11
27137,19750,7
27138,879,7
27139,2812,3
27140,19740,8
27141,25782,3
27142,19742,7
27143,25894,3
27149,465,8
27150,7294,6
27151,19876,4
27152,19888,4
27153,19891,4
27154,633,4
27173,26573,6
27174,20473,4
27175,25914,4
27176,25912,4
27179,20925,4
27180,24275,4
27186,2823,7
27187,2818,7
27188,13219,5
27189,13218,5
27209,686,11
27210,5676,7
27211,6353,3
27212,5740,5
27213,1949,4
27214,5857,4
27215,348,9
27216,172,8
27217,1120,5
27218,980,7
27219,689,7
27220,689,8
27222,1454,7
27223,6789,4
27224,702,7
27228,1490,4
27230,6201,6
27238,693,6
27243,27243,1
27250,6366,5
27259,755,8
27260,706,6
27263,17877,7
27265,18220,4
27267,3110,8
27268,6307,6
27269,2947,6
27270,3716,7
27271,17735,5
27272,17767,7
27273,7812,7
27274,7814,7
27275,6360,5
27276,19505,5
27277,19505,6
27285,27285,1
27344,1853,8
27346,1747,7
27347,2980,9
27348,17254,9
27349,24424,5
27353,24490,5
27354,24494,5
27361,24641,5
27362,24547,11
27364,4195,11
27366,26094,4
27375,1811,8
27376,1811,9
27378,2141,8
27379,2141,9
27380,1467,7
27381,1467,8
27384,1196,7
27385,2124,7
27386,1241,6
27387,1194,5
27391,1214,5
27392,6121,4
27393,1472,6
27394,23030,2
27395,1035,6
27396,6144,5
27397,1267,5
27398,1481,7
27441,8676,7
27448,1966,6
27486,2949,6
27489,20322,6
27491,20387,7
27492,20381,7
27494,20403,5
27497,20429,5
27500,20393,5
27576,27576,1
27681,27681,1
27683,27683,1
27799,15237,4
27800,15237,5
27801,15237,6
27803,23455,4
27804,23455,5
27805,23455,6
27813,27813,1
27817,27813,2
27818,27813,3
27828,14743,2
27841,14752,4
27870,724,2
27871,724,3
27873,7001,2
27874,7001,3
28029,7411,5
28172,2362,4
28176,28176,1
28189,28176,2
28275,724,4
28276,7001,4
28343,7370,6
28596,2259,5
28609,6143,5
28610,6229,4
28612,587,7
28695,2366,5
28894,25229,3
28895,25229,4
28897,25229,5
29177,30165,2
29178,30165,3
29228,8050,6
29354,2575,5
29520,6966,5
29559,29559,1
29588,29559,2
29589,29559,3
29707,78,10
29722,29722,1
29841,29841,1
29842,29841,2
29844,2018,5
29893,29893,1
30016,20243,2
30022,20243,3
30049,30049,1
30051,30049,2
30052,30049,3
30069,30069,1
30070,30069,2
30108,30108,1
30151,30151,1
30153,30153,1
30154,30154,1
30165,30165,1
30194,30151,2
30195,30153,2
30197,30153,3
30198,30151,3
30199,30154,2
30200,30154,3
30213,30213,1
30214,30214,1
30219,30213,2
30222,30214,2
30223,30213,3
30224,30214,3
30251,30251,1
30256,30251,2
30283,30283,1
30324,78,11
30330,12294,6
30350,4036,5
30356,23922,6
30357,6572,8
30404,30108,2
30405,30108,3
30413,30283,2
30414,30283,3
30451,30451,1
30455,30455,1
30459,5676,8
30482,30482,1
30545,6353,4
30546,17877,8
30669,30669,1
30670,30669,2
30671,30669,3
30682,6966,4
30683,6966,3
30701,30701,1
30702,30701,2
30703,30701,3
30704,30701,4
30705,30701,5
30706,30706,1
30799,30799,1
30800,30799,2
30801,30799,3
30880,6966,2
30909,702,8
30910,603,2
31016,2098,9
31018,22568,5
31661,31661,1
31709,8998,4
31935,31935,1
32231,29722,2
32379,32379,1
32546,32546,1
32549,2108,5
32593,974,2
32594,974,3
32645,32645,1
32678,8613,5
32684,32645,2
32699,31935,2
32700,31935,3
32796,6143,6
32797,6144,6
32996,32379,2
32999,27681,2
33041,31661,2
33042,31661,3
33043,31661,4
33072,20473,5
33073,25912,5
33074,25914,5
33076,33076,1
33077,8115,5
33078,8096,5
33079,8091,5
33080,8112,5
33081,8099,5
33082,8118,5
33095,7620,5
33196,33196,1
33197,33196,2
33198,33196,3
33357,1850,3
33359,2550,5
33388,33388,1
33391,33388,2
33405,11426,6
33698,33698,1
33699,33698,2
33700,33698,3
33701,17735,6
33703,20393,6
33704,33704,1
33705,33704,2
33706,33704,3
33717,587,8
33736,52127,8
33745,33745,1
33763,33763,1
33876,33876,1
33878,33878,1
33933,11113,7
33938,11366,10
33943,33943,1
33944,604,6
33946,1008,6
33947,1267,6
33982,33876,2
33983,33876,3
33986,33878,2
33987,33878,3
34090,33388,3
34091,33388,4
34120,56641,2
34411,1329,2
34412,1329,3
34413,1329,4
34414,5374,2
34415,27576,2
34416,5374,3
34417,27576,3
34418,27576,4
34419,5374,4
34472,34472,1
34473,34472,2
34474,34472,3
34478,34478,1
34479,34478,2
34481,34478,3
34833,34833,1
34834,34833,2
34835,34833,3
34836,34833,4
34837,34833,5
34861,34861,1
34863,34861,2
34864,34861,3
34865,34861,4
34866,34861,5
34889,34889,1
34913,34913,1
34914,34914,1
34916,34914,2
34917,34914,3
34952,34952,1
34953,34952,2
35060,35060,1
35061,35060,2
35098,35098,1
35099,35098,2
35290,35290,1
35291,35290,2
35292,35290,3
35293,35290,4
35294,35290,5
35295,35290,6
35299,35299,1
35300,35299,2
35302,35299,3
35303,35299,4
35304,35299,5
35305,35299,6
35306,35299,7
35307,35299,8
35308,35299,9
35323,34889,2
35358,17080,2
35359,17080,3
35387,35387,1
35388,35388,1
35389,35387,2
35390,35388,2
35391,35388,3
35392,35387,3
35542,35542,1
35545,35542,2
35546,35542,3
35547,35542,4
35548,35542,5
36916,1495,5
37420,5504,8
38115,8073,2
38116,2075,2
38215,38215,1
38216,38215,2
38217,38215,3
38218,38215,4
38219,38219,1
38220,38219,2
38221,38219,3
38222,38219,4
38230,38219,5
38231,38215,5
38692,133,14
38697,116,14
38699,5143,10
38700,7268,10
38703,7268,11
38704,5143,11
39374,27683,2
40120,33943,2
40583,38219,6
40584,38215,6
41635,41635,1
42198,42208,7
42208,42208,1
42209,42208,2
42210,42208,3
42211,42208,4
42212,42208,5
42213,42208,6
42218,42223,5
42223,42223,1
42224,42223,2
42225,42223,3
42226,42223,4
42230,42231,4
42231,42231,1
42232,42231,2
42233,42231,3
42234,42243,4
42243,42243,1
42244,42243,2
42245,42243,3
42832,133,15
42833,133,16
42841,116,15
42842,116,16
42843,5143,12
42844,7268,12
42845,7268,13
42846,5143,13
42858,2948,10
42859,2948,11
42872,2136,10
42873,2136,11
42890,11366,11
42891,11366,12
42894,30451,2
42896,30451,3
42897,30451,4
42913,30455,2
42914,30455,3
42917,122,6
42920,1449,9
42921,1449,10
42925,2120,8
42926,2120,9
42930,120,7
42931,120,8
42937,42208,8
42938,42208,9
42939,10,8
42940,10,9
42944,11113,8
42945,11113,9
42949,31661,5
42950,31661,6
42955,42955,1
42956,42955,2
42985,759,6
42987,5405,6
42988,5405,7
42995,1459,7
42999,1472,7
43002,23028,3
43008,7302,6
43010,543,7
43012,6143,7
43015,604,7
43017,1008,7
43019,1463,8
43020,1463,9
43023,6117,5
43024,6117,6
43038,11426,7
43039,11426,8
43043,34913,2
43044,34913,3
43045,30482,2
43046,30482,3
43194,8115,6
43195,8096,6
43196,8091,6
43197,8112,6
43198,8099,8
43199,8118,6
43265,43265,1
43987,43987,1
43991,43991,1
44203,44203,1
44205,44203,2
44206,44203,3
44207,44203,4
44208,44203,5
44425,44425,1
44440,44440,1
44441,44440,2
44457,44457,1
44461,44461,1
44614,44614,1
44780,44425,2
44781,44425,3
45237,45237,1
45241,45237,2
45242,45237,3
45281,45281,1
45282,45281,2
45283,45281,3
45284,45284,1
45286,45284,2
45287,45284,3
45288,45284,4
45289,45284,5
45290,45284,6
45291,45284,7
45292,45284,8
45293,45284,9
45294,45284,10
45295,45284,11
45296,45284,12
45297,45297,1
45298,45297,2
45299,45297,3
45300,45297,4
45301,45297,5
45302,45297,6
45357,45357,1
45358,45357,2
45359,45357,3
45360,45357,4
45361,45357,5
45363,45357,6
45462,45462,1
45463,49998,3
45477,45477,1
45542,3273,6
45543,746,13
45544,746,15
45902,45902,1
46845,772,9
46856,46856,1
46857,46856,2
46946,46946,1
46947,46946,2
47179,47179,1
47180,47179,2
47261,47261,1
47262,47261,2
47263,47263,1
47264,47263,2
47265,47263,3
47426,47426,1
47427,47426,2
47436,6673,9
47437,1160,8
47439,469,2
47440,469,3
47449,78,12
47450,78,13
47465,772,10
47470,5308,8
47471,5308,9
47474,1464,7
47475,1464,8
47485,12294,7
47486,12294,8
47487,23922,7
47488,23922,8
47497,20243,4
47498,20243,5
47501,6343,8
47502,6343,9
47519,845,7
47520,845,8
47540,47540,1
47541,47541,1
47610,44614,2
47666,47666,1
47750,47750,1
47757,47757,1
47758,47758,1
47793,706,7
47808,686,12
47809,686,13
47810,348,10
47811,348,11
47812,172,9
47813,172,10
47814,5676,9
47815,5676,10
47817,42223,6
47818,42223,7
47819,5740,6
47820,5740,7
47822,5857,5
47823,1949,5
47824,6353,5
47825,6353,6
47826,17877,9
47827,17877,10
47831,43991,2
47832,43991,3
47833,27285,2
47834,27285,3
47835,27243,2
47836,27243,3
47837,29722,3
47838,29722,4
47841,30108,4
47843,30108,5
47846,30283,4
47847,30283,5
47855,1120,6
47856,755,9
47857,689,9
47859,6789,5
47860,6789,6
47863,980,8
47864,980,9
47865,1490,5
47867,603,3
47871,6201,7
47878,6201,8
47884,693,7
47886,2362,5
47888,2362,6
47889,706,8
47890,6229,5
47891,6229,6
47892,28176,3
47893,28176,4
47897,47897,1
47964,3110,9
47982,6307,7
47983,2947,7
47984,3716,8
47985,7812,8
47986,7812,9
47987,17767,8
47988,17767,9
47989,17735,7
47990,17735,8
47991,7814,8
47992,7814,9
47993,33698,4
47994,30213,4
47995,30153,4
47996,30151,4
47998,20322,7
48001,20381,8
48002,20381,9
48003,20387,8
48004,20387,9
48005,20393,7
48006,20393,8
48011,19505,7
48040,588,8
48045,48045,1
48062,2060,8
48063,2060,9
48065,17,13
48066,17,14
48067,139,13
48068,139,14
48070,2061,10
48071,2061,11
48072,596,7
48073,14752,6
48074,27681,3
48075,23455,8
48076,23455,9
48077,15237,8
48078,15237,9
48084,7001,5
48085,7001,6
48086,724,5
48087,724,6
48088,34861,6
48089,34861,7
48099,8096,7
48100,8096,8
48101,8099,6
48102,8099,7
48103,8112,7
48104,8112,8
48110,41635,2
48111,41635,3
48112,33076,2
48113,33076,3
48119,32546,2
48120,32546,3
48122,585,11
48123,585,12
48124,589,11
48125,589,12
48126,8092,12
48127,8092,13
48134,14914,10
48135,14914,11
48155,15407,8
48156,15407,9
48157,32379,3
48158,32379,4
48159,34914,4
48160,34914,5
48161,1243,8
48162,21562,4
48168,588,9
48169,976,5
48170,27683,3
48171,2006,7
48172,19236,8
48173,19236,9
48181,48181,1
48299,2944,8
48300,2944,9
48377,5185,14
48378,5185,15
48435,48435,1
48436,48435,2
48437,48435,3
48438,48438,1
48440,774,14
48441,774,15
48442,8936,11
48443,8936,12
48444,44203,6
48445,44203,7
48446,740,6
48447,740,7
48450,33763,2
48451,33763,3
48459,5176,11
48461,5176,12
48462,8921,13
48463,8921,14
48464,2912,9
48465,2912,10
48466,42231,5
48467,16914,5
48468,5570,7
48469,1126,9
48470,21849,4
48477,20484,7
48479,6807,9
48480,6807,10
48505,48505,1
48559,99,7
48560,99,8
48561,779,7
48562,779,8
48563,33878,4
48564,33878,5
48565,33876,4
48566,33876,5
48567,33745,2
48568,33745,3
48569,1082,7
48570,1082,8
48571,5221,8
48572,5221,9
48573,1822,6
48574,1822,7
48575,8998,6
48576,22568,7
48577,22568,8
48578,6785,6
48579,6785,7
48637,1752,11
48638,1752,12
48656,53,11
48657,53,12
48658,1966,7
48659,1966,8
48660,16511,5
48661,27576,5
48662,5374,5
48663,1329,5
48664,27576,6
48665,5374,6
48666,1329,6
48667,2098,11
48668,2098,12
48671,1943,8
48672,1943,9
48673,26679,2
48674,26679,3
48675,703,9
48676,703,10
48689,8676,8
48690,8676,9
48691,8676,10
48721,48721,1
48781,635,12
48782,635,13
48784,19750,8
48785,19750,9
48788,633,5
48800,879,8
48801,879,9
48805,24275,5
48806,24275,6
48816,2812,4
48817,2812,5
48818,26573,7
48819,26573,8
48820,25914,6
48821,25914,7
48822,25912,6
48823,25912,7
48824,20473,6
48825,20473,7
48826,31935,4
48827,31935,5
48931,19740,9
48932,19740,10
48933,25782,4
48934,25782,5
48935,19742,8
48936,19742,9
48937,25894,4
48938,25894,5
48941,465,9
48942,465,10
48943,19876,5
48945,19888,5
48947,19891,5
48949,7328,6
48950,7328,7
48951,20925,5
48952,20925,6
48989,136,9
48990,136,10
48995,2973,10
48996,2973,11
48998,19306,5
48999,19306,6
49000,1978,11
49001,1978,12
49009,24131,5
49010,24131,6
49011,19386,5
49012,19386,6
49020,49020,1
49038,49038,1
49044,3044,10
49045,3044,11
49047,2643,7
49048,2643,8
49049,19434,8
49050,19434,9
49051,56641,3
49052,56641,4
49053,13797,7
49054,13797,8
49055,13795,7
49056,13795,8
49064,13812,5
49065,13812,6
49066,13813,5
49067,13813,6
49071,20043,4
49143,49143,1
49158,49158,1
49184,49184,1
49230,8042,9
49231,8042,10
49232,8050,8
49233,8050,9
49235,8056,6
49236,8056,7
49237,403,13
49238,403,14
49239,45284,13
49240,45284,14
49268,45297,7
49269,45297,8
49270,421,7
49271,421,8
49272,331,13
49273,331,14
49275,8004,8
49276,8004,9
49277,2008,7
49278,26364,10
49279,26364,11
49280,324,10
49281,324,11
49283,974,4
49284,974,5
49595,49038,2
49596,49038,3
49601,49601,1
49602,49601,2
49694,49694,1
49799,1079,8
49800,1079,9
49802,22570,2
49803,9005,5
49804,9007,5
49821,49821,1
49892,47541,2
49893,47541,3
49894,47541,4
49895,47541,5
49896,45477,2
49903,45477,3
49904,45477,4
49909,45477,5
49917,45462,2
49918,45462,3
49919,45462,4
49920,45462,5
49921,45462,6
49923,49998,4
49924,49998,5
49926,45902,2
49927,45902,3
49928,45902,4
49929,45902,5
49930,45902,6
49936,43265,2
49937,43265,3
49938,43265,4
49939,48721,2
49940,48721,3
49941,48721,4
49966,49966,1
49967,49966,2
49968,49966,3
49969,49966,4
49970,49966,5
49971,49966,6
49972,49966,7
49973,49966,8
49974,49966,9
49998,49998,1
49999,49998,2
50096,50096,1
50108,50096,2
50109,50096,3
50110,50096,4
50111,50096,5
50122,50122,1
50123,50122,2
50124,50122,3
50125,50122,4
50126,50122,5
50170,50170,1
50171,50170,2
50172,50170,3
50212,5217,5
50213,5217,6
50245,50245,1
50256,50256,1
50271,50271,1
50274,50274,1
50286,50286,1
50288,50288,1
50294,50294,1
50300,2366,6
50305,8613,6
50310,2575,6
50318,50318,1
50433,50433,1
50479,50479,1
50498,50498,1
50508,50508,1
50509,50508,2
50510,50508,3
50511,702,9
50516,50516,1
50518,50518,1
50519,50519,1
50541,50541,1
50763,50769,7
50764,50769,6
50765,50769,5
50766,50769,4
50767,50769,3
50768,50769,2
50769,50769,1
50796,50796,1
51294,7620,6
51296,2550,6
51300,2018,6
51302,2108,6
51304,2259,6
51306,4036,6
51309,3908,6
51311,25229,6
51313,7411,6
51325,49158,2
51326,49158,3
51327,49158,4
51328,49158,5
51409,49184,2
51410,49184,3
51411,49184,4
51416,49143,2
51417,49143,3
51418,49143,4
51419,49143,5
51423,49020,2
51424,49020,3
51425,49020,4
51490,51490,1
51505,51505,1
51630,51630,1
51631,51630,2
51675,51675,1
51677,51675,2
51724,6770,4
51726,51726,1
51730,51730,1
51734,51726,2
51735,51726,3
51789,51789,1
51803,746,16
51827,746,14
51940,51940,1
51945,51945,1
51969,51969,1
51970,51969,2
51983,51983,1
51986,51983,2
51988,51730,2
51989,51940,2
51990,51945,2
51991,51730,3
51992,51730,4
51993,51730,5
51994,51730,6
51997,51945,3
51998,51945,4
51999,51945,5
52000,51945,6
52004,51940,3
52005,51940,4
52007,51940,5
52008,51940,6
52012,50318,2
52013,50318,3
52014,50318,4
52015,50318,5
52016,50318,6
52109,52109,1
52110,52109,2
52111,52109,3
52112,52109,4
52113,52109,5
52127,52127,1
52129,52127,2
52131,52127,3
52134,52127,4
52136,52127,5
52138,52127,6
52284,52284,1
52285,52284,2
52286,52284,3
52395,50433,2
52396,50433,3
52397,50433,4
52398,50433,5
52399,50433,6
52471,16827,10
52472,16827,11
52473,17253,10
52474,17253,11
52475,49966,10
52476,49966,11
52983,47750,2
52984,47750,3
52985,47750,4
52986,47757,2
52987,47757,3
52988,47757,4
52998,47666,2
52999,47666,3
53000,47666,4
53001,47758,2
53002,47758,3
53003,47758,4
53005,47540,2
53006,47540,3
53007,47540,4
53022,49821,2
53023,48045,2
53040,53120,6
53120,53120,1
53121,53120,2
53122,53120,3
53123,53120,4
53124,53120,5
53125,53125,1
53188,50294,2
53189,50294,3
53190,50294,4
53191,50288,2
53194,50288,3
53195,50288,4
53196,50286,2
53197,50286,3
53198,50286,4
53199,48505,2
53200,48505,3
53201,48505,4
53223,50516,2
53225,50516,3
53226,50516,4
53227,61391,5
53248,48438,2
53249,48438,3
53251,48438,4
53301,53301,1
53307,467,8
53308,339,8
53312,16689,8
53313,19975,8
53338,1130,5
53339,1495,6
53351,53351,1
53526,50256,2
53528,50256,3
53529,50256,4
53532,50256,5
53533,50256,6
53537,50541,2
53538,50541,3
53540,50541,4
53542,50541,5
53543,50541,6
53544,50245,2
53545,50245,3
53546,50245,4
53547,50245,5
53548,50245,6
53558,50518,2
53559,50518,3
53560,50518,4
53561,50518,5
53562,50518,6
53564,50519,2
53565,50519,3
53566,50519,4
53567,50519,5
53568,50519,6
53571,50271,2
53572,50271,3
53573,50271,4
53574,50271,5
53575,50271,6
53578,50498,2
53579,50498,3
53580,50498,4
53581,50498,5
53582,50498,6
53584,50479,2
53586,50479,3
53587,50479,4
53588,50479,5
53589,50479,6
53593,50274,2
53594,50274,3
53596,50274,4
53597,50274,5
53598,50274,6
53600,53600,1
53655,53655,1
53656,53655,2
53657,53655,3
53662,53125,2
53663,53125,3
53664,53125,4
53665,53125,5
53666,53125,6
54043,7294,7
54049,54049,1
54050,54049,2
54051,54049,3
54052,54049,4
54053,54049,5
54152,53655,4
54153,53655,5
54424,54424,1
54498,21183,2
54499,21183,3
54644,54644,1
54680,54680,1
54706,54706,1
55021,18469,2
55050,55050,1
55090,55090,1
55258,55050,2
55259,55050,3
55260,55050,4
55261,55050,5
55262,55050,6
55265,55090,2
55268,49143,6
55270,55090,3
55271,55090,4
55359,44457,2
55360,44457,3
55361,44461,2
55362,44461,3
55428,55428,1
55458,1064,6
55459,1064,7
55480,55428,2
55482,34889,3
55483,34889,4
55484,34889,5
55485,34889,6
55487,24423,6
55488,54644,2
55489,54644,3
55490,54644,4
55491,54644,5
55492,54644,6
55495,54680,2
55496,54680,3
55497,54680,4
55498,54680,5
55499,54680,6
55500,55428,3
55501,55428,4
55502,55428,5
55503,55428,6
55505,54706,2
55506,54706,3
55507,54706,4
55508,54706,5
55509,54706,6
55555,35387,4
55556,35387,5
55557,35387,6
55728,24640,6
55749,55749,1
55750,55749,2
55751,55749,3
55752,55749,4
55753,55749,5
55754,55749,6
56626,56626,1
56627,56626,2
56628,56626,3
56629,56626,4
56630,56626,5
56631,56626,6
56641,56641,1
57330,57330,1
57386,57386,1
57389,57386,2
57390,57386,3
57391,57386,4
57392,57386,5
57393,57386,6
57518,57518,1
57519,57518,2
57520,57518,3
57521,57518,4
57522,57518,5
57564,54424,2
57565,54424,3
57566,54424,4
57567,54424,5
57621,8076,7
57622,8075,7
57623,57330,2
57658,57658,1
57660,57658,2
57662,57658,3
57663,57658,4
57720,30706,2
57721,30706,3
57722,30706,4
57823,6572,9
57946,1454,8
57960,52127,9
57964,8680,8
57965,8680,9
57967,8679,8
57968,8679,9
57969,2818,8
57970,2818,9
57972,2823,8
57973,2823,9
57974,13218,6
57975,13218,7
57977,13219,6
57978,13219,7
57981,26688,2
57982,26785,2
57992,32645,3
57993,32645,4
58179,58179,1
58180,58179,2
58181,58179,3
58378,58378,1
58379,58378,2
58431,1510,5
58432,42243,5
58433,42243,6
58434,1510,6
58448,8118,7
58449,8118,8
58450,8115,7
58451,8115,8
58452,8091,7
58453,8091,8
58580,5730,8
58581,5730,9
58582,5730,10
58583,5728,8
58584,5728,9
58585,5728,10
58586,5729,8
58587,5729,9
58588,5729,10
58604,58604,1
58607,58604,2
58608,58604,3
58609,58604,4
58610,58604,5
58611,58604,6
58643,8075,8
58646,8076,8
58649,8227,6
58651,52109,6
58652,8227,7
58654,52109,7
58655,52109,8
58656,8227,8
58659,43987,2
58683,58684,2
58684,58684,1
58699,3599,8
58700,3606,8
58701,3606,9
58702,3606,10
58703,3599,9
58704,3599,10
58731,8190,6
58732,8187,6
58733,8188,6
58734,8190,7
58735,8187,7
58736,8188,7
58737,8184,5
58738,8185,5
58739,8184,6
58740,8185,6
58741,8181,5
58742,8182,5
58744,8182,6
58745,8181,6
58746,10595,5
58748,10596,5
58749,10595,6
58750,10596,6
58751,8071,9
58752,8072,9
58753,8071,10
58754,8072,10
58755,5394,7
58756,5394,8
58757,5394,9
58763,5672,7
58764,5672,8
58765,5672,9
58771,5675,6
58773,5675,7
58774,5675,8
58775,5677,6
58776,5677,7
58777,5677,8
58784,10400,8
58785,8024,8
58786,8026,8
58787,8026,9
58788,8026,10
58789,8024,9
58790,8024,10
58791,10400,9
58792,10400,10
58794,8033,7
58795,8033,8
58796,8033,9
58797,8034,7
58798,8034,8
58799,8034,9
58801,8232,6
58803,8232,7
58804,8232,8
58887,29893,2
59000,49694,2
59092,18220,5
59133,59133,1
59156,51490,2
59158,51490,3
59159,51490,4
59161,48181,2
59163,48181,3
59164,48181,4
59170,50796,2
59171,50796,3
59172,50796,4
59881,59881,1
59882,59881,2
59883,59881,3
59884,59881,4
59885,59881,5
59886,59881,6
60043,51505,2
60051,53301,2
60052,53301,3
60053,53301,4
60096,60096,1
60097,60096,2
60219,6366,6
60220,6366,7
60431,60431,1
60432,60431,2
60433,60431,3
61005,53351,2
61006,53351,3
61191,1098,4
61193,61193,1
61194,61193,2
61195,61193,3
61196,61193,4
61197,61193,5
61198,61193,6
61274,61274,1
61275,61274,2
61276,61274,3
61277,61274,4
61278,61274,5
61290,47897,2
61295,61295,1
61299,61295,2
61300,61295,3
61301,61295,4
61384,50516,5
61387,61391,4
61388,61391,3
61390,61391,2
61391,61391,1
61411,53600,2
61649,1535,8
61650,8349,8
61654,8349,9
61657,1535,9
61676,2649,9
61846,61846,1
61847,61846,2
62900,62900,1
62901,62900,2
62902,62900,3
62903,62900,4
62904,62900,5
63668,3674,2
63669,3674,3
63670,3674,4
63671,3674,5
63672,3674,6
64418,64418,1
64419,64418,2
64420,64418,3
64491,24604,2
64492,24604,3
64493,24604,4
64494,24604,5
64495,24604,6
64694,64694,1
64855,51789,2
64856,51789,3
64858,51789,4
64859,51789,5
65263,64694,2
65264,64694,3
66188,66188,1
66196,66196,1
66198,66198,1
66215,66215,1
66950,66188,2
66951,66188,3
66952,66188,4
66953,66188,5
66958,66196,2
66959,66196,3
66960,66196,4
66961,66196,5
66962,66196,6
66972,66198,2
66973,66198,3
66974,66198,4
66975,66215,2
66976,66215,3
66977,66215,4
66978,66215,5
66979,66215,6
66988,59133,2
66989,59133,3
66990,59133,4
66991,59133,5
66992,59133,6
75446,75593,2
75447,75593,3
75593,75593,1
